case_id,title,domain_route,re10_status,stop_reason,evidence_status,adapter_attempt_n,adapter_success_n,adapter_error_n,missing_client_n,new_candidates_n,accepted_candidates_n,query_repair_n,url_repair_n,empty_url_n,provider_error_summary,provider_circuit_breaker,query_placeholder_leaks,chinese_query_leaks,fixed_unet_fallback_seen,primary_failure_mode,accepted_titles,rejected_noise_titles,trace_path
TYPICAL-01,室内移动机器人目标搜寻与抓取研究,,max_rounds,max_rounds,pass,9,7,2,0,12,12,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""A novel dataset and deep learning object detection benchmark for grapevine pest "", ""ScrewCount: A Dataset and Benchmark for Exemplar Efficiency and Text-Guided Few-"", ""Table 3: Performance (%) of our method applied to three different baseline model"", ""Size-constrained region merging (SCRM): a new segmentation method to derive a ba"", ""A baseline method for search-based software engineering""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-01.json
TYPICAL-02,基于点云多平面检测的三维重建关键技术研究,,max_rounds,max_rounds,pass,9,6,3,0,9,9,0,0,0,"{""openalex"": 2, ""github"": 1}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref; github: fb=huggingface",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""Towards Weather-Robust 3D Human Body Reconstruction: Millimeter-Wave Radar-Based"", ""Table 3: Performance metrics of surface reconstruction methods on the benchmark "", ""Table 1: Quantitative 3D reconstruction results on Flickr2K dataset."", ""Reconstruction 3D de l'environnement dynamique d'un véhicule à l'aide d'un systè"", ""Deep learning based 3d reconstruction for phenotyping of wheat seeds: a dataset,""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-02.json
TYPICAL-03,随机纹理背景下弱小缺陷检测的深度学习方法研究,,max_rounds,max_rounds,pass,9,7,2,0,9,9,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""PESMOD: Small Moving Object Detection Benchmark Dataset for Moving Cameras"", ""Table 5: Defect detection results on casting billet dataset."", ""Welding Defect Detection with Image Processing on a Custom Small Dataset: A Comp"", ""Sop-Net: An Industrial-Grade Method for Identifying Small Defect Detection"", ""An Intelligent Defect Detection Method of Small Sized Ceramic Tile Using Machine""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-03.json
TYPICAL-04,基于深度学习的视觉SLAM语义地图的研究,,max_rounds,max_rounds,pass,9,7,2,0,10,10,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""Open-Structure: Structural Benchmark Dataset for SLAM Algorithms_supp1-3487071.m"", ""A Benchmark Dataset for Collaborative SLAM in Service Environments_supp1-3491415"", ""PM25Vision: A Large-Scale Benchmark Dataset for Visual Estimation of Air Quality"", ""LIFT-SLAM"", ""IMU-assisted visual SLAM feature matching method""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-04.json
TYPICAL-05,基于深度学习的三维点云补全方法研究,,max_rounds,max_rounds,pass,9,7,2,0,8,8,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""An Efficient Bi-Directional Point Pyramid Attention Network for 3d Point Cloud C"", ""3D-Point Cloud dataset of various geometrical terrains in urban environments rec"", ""Tree point cloud registration in complex forest environments: Benchmark dataset "", ""3d Complex Object Point Cloud Completion Method Based on Multi-Layer Spatial Str"", ""A Self-Adaptive Size-Free Method For 3D Point Cloud Completion""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-05.json
TYPICAL-06,基于深度学习的钢铁表面缺陷检测研究,,max_rounds,max_rounds,pass,9,7,2,0,10,10,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""Figure 10: NEU-DET steel surface defect dataset defect types."", ""YOLOv5–YOLOv12 equal-condition benchmark for industrial surface defect detection"", ""Figure 9: GC10-DET deep metal surface defect dataset defect types."", ""A Defect Detection Path Causality-Driven Fpc Surface Defect Detection Method"", ""Review for \""An intelligent surface quality detection method for defect identific""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-06.json
TYPICAL-07,基于改进YOLOv4模型的快速目标检测与测距算法研究,,max_rounds,max_rounds,pass,9,7,2,0,12,12,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""A novel dataset and deep learning object detection benchmark for grapevine pest "", ""A new benchmark for camouflaged object detection: RGB-D camouflaged object detec"", ""PESMOD: Small Moving Object Detection Benchmark Dataset for Moving Cameras"", ""Single Stage Class Agnostic Common Object Detection: A Simple Baseline"", ""Baseline Assessment of Object Detection Models on Partially Occluded Objects""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-07.json
TYPICAL-08,基于多种数据库的改进YOLO算法研究,,max_rounds,max_rounds,pass,9,7,2,0,12,12,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""A novel dataset and deep learning object detection benchmark for grapevine pest "", ""A new benchmark for camouflaged object detection: RGB-D camouflaged object detec"", ""PESMOD: Small Moving Object Detection Benchmark Dataset for Moving Cameras"", ""Single Stage Class Agnostic Common Object Detection: A Simple Baseline"", ""Baseline Assessment of Object Detection Models on Partially Occluded Objects""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-08.json
TYPICAL-09,基于深度学习的新材料地板缺陷检测技术研究,,max_rounds,max_rounds,pass,9,7,2,0,10,10,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""Figure 10: NEU-DET steel surface defect dataset defect types."", ""YOLOv5–YOLOv12 equal-condition benchmark for industrial surface defect detection"", ""Figure 9: GC10-DET deep metal surface defect dataset defect types."", ""A Defect Detection Path Causality-Driven Fpc Surface Defect Detection Method"", ""Review for \""An intelligent surface quality detection method for defect identific""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-09.json
TYPICAL-10,基于深度卷积神经网络的巡检图像电力部件识别方法研究,,max_rounds,max_rounds,pass,9,7,2,0,9,9,0,0,0,"{""openalex"": 2}","openalex: fb=crossref,fb=crossref,fb=crossref,fb=crossref",[],[],False,n/a,"[""ORB_SLAM3"", ""open_vins"", ""awesome-visual-slam"", ""Introducing the Greek Humorous Dataset: A benchmark for Computational Humor Reco"", ""Benchmark Dataset Collection"", ""A Dataset and Benchmark for Image-Based Persian Food Recognition"", ""A baseline prediction method for building demand response based on historical si"", ""Table 3: Comparison of the key characteristics of the proposed method with basel""]",[],G:\PaperAgent\tmp_re04_eval\re10_fix2_sample10\traces\TYPICAL-10.json
