case_id,title,status,paper_n,baseline_n,parallel_n,dataset_n,repo_n,topic_dataset_n,proxy_dataset_n,pretrain_dataset_n,generic_dataset_n,core_direct_n,baseline_direct_n,baseline_proxy_n,parallel_direct_n,parallel_proxy_n,critical_consistency_error_n,metadata_mismatch_n,off_topic_core_n,axis_missing_reasons,source_batch,reason
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,weak,17,2,3,0,,0,,0,,0,,,,,0,0,,,batch1,dataset+repo=0 < 1; no_dataset; core_n=1_but_no_direct_core
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,weak,22,4,6,0,,0,,0,,0,,,,,0,0,,,batch1,no_dataset; core_n=6_but_no_direct_core
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,weak,34,1,7,3,,0,,3,,0,,,,,0,0,,,batch1,datasets_present_but_no_topic_dataset; core_n=4_but_no_direct_core
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,weak,22,4,2,1,,0,,1,,0,,,,,0,0,,,batch2,datasets_present_but_no_topic_dataset
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,weak,15,3,1,0,,0,,0,,0,,,,,0,0,,,batch2,no_dataset
ENG-THESIS-033,基于YOLOV5的肺结节检测算法研究,weak,27,5,9,2,,0,,2,,0,,,,,0,0,,,batch2,datasets_present_but_no_topic_dataset; core_n=7_but_no_direct_core
ENG-THESIS-043,基于无人机平台的动态目标检测系统开发,fail,16,3,3,2,,0,,2,,0,,,,,2,2,,,batch2,critical_consistency_error_n=2; datasets_present_but_no_topic_dataset; core_n=4_but_no_direct_core; metadata_mismatch_in_core_or_baseline_or_parallel
ENG-THESIS-050,基于深度学习的自动驾驶感知算法,weak,22,3,8,2,,0,,2,,0,,,,,0,0,,,batch3,datasets_present_but_no_topic_dataset; core_n=4_but_no_direct_core
ENG-THESIS-063,基于3D视觉的机械臂无序抓取系统研究,weak,57,7,6,0,,0,,0,,0,,,,,0,0,,,batch3,no_dataset; core_n=11_but_no_direct_core
ENG-THESIS-066,面向自动驾驶中多模态融合感知算法的攻击和防御,weak,28,4,2,2,,0,,2,,0,,,,,0,0,,,batch3,datasets_present_but_no_topic_dataset
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,weak,19,3,7,2,,0,,2,,0,,,,,0,0,,,r1,datasets_present_but_no_topic_dataset; core_n=3_but_no_direct_core
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,weak,19,3,2,2,,0,,2,,0,,,,,0,0,,,r1,datasets_present_but_no_topic_dataset; core_n=5_but_no_direct_core
ENG-THESIS-046,基于视觉的机械臂的目标检测和避障路径规划研究与应用,weak,30,3,6,0,,0,,0,,0,,,,,0,0,,,r1,no_dataset; core_n=3_but_no_direct_core
ENG-THESIS-074,基于深度学习的混凝土桥梁裂缝检测研究,weak,24,2,5,1,,0,,1,,0,,,,,0,0,,,r1,datasets_present_but_no_topic_dataset; core_n=2_but_no_direct_core
ENG-THESIS-075,基于深度学习的混凝土路面裂缝检测研究,fail,19,3,3,0,,0,,0,,0,,,,,2,2,,,r1,critical_consistency_error_n=2; no_dataset; core_n=1_but_no_direct_core; metadata_mismatch_in_core_or_baseline_or_parallel
ENG-THESIS-080,基于三维重建裂缝损伤检测算法研究,weak,17,4,4,1,,0,,1,,0,,,,,0,0,,,r2,datasets_present_but_no_topic_dataset
ENG-THESIS-091,基于云计算的输电线路缺陷检测平台,weak,20,4,2,0,,0,,0,,0,,,,,0,0,,,r2,dataset+repo=0 < 1; no_dataset; core_n=2_but_no_direct_core
ENG-THESIS-092,海上风机叶片缺陷检测及分类,weak,17,2,7,3,,0,,3,,0,,,,,0,0,,,r2,datasets_present_but_no_topic_dataset; core_n=2_but_no_direct_core
ENG-THESIS-093,基于深度学习的接触网绝缘子表面缺陷图像式检测方法研究,weak,15,4,4,3,,0,,3,,0,,,,,0,0,,,r2,datasets_present_but_no_topic_dataset
ENG-THESIS-096,基于石墨烯薄膜电热效应的风机叶片防冰除冰系统研究,weak,22,1,3,0,,0,,0,,0,,,,,0,0,,,r2,dataset+repo=0 < 1; no_dataset; core_n=1_but_no_direct_core
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,weak,17,2,4,0,,0,,0,,0,,,,,0,0,,,r3,no_dataset; core_n=3_but_no_direct_core
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,weak,19,5,1,2,,0,,2,,0,,,,,0,0,,,r3,datasets_present_but_no_topic_dataset; core_n=7_but_no_direct_core
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,weak,23,2,2,3,,0,,3,,0,,,,,0,0,,,r3,datasets_present_but_no_topic_dataset; core_n=2_but_no_direct_core
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,weak,200,1,0,3,,0,,3,,0,,,,,0,0,,,r3,baseline_is_self_cannot_find_degradation; datasets_present_but_no_topic_dataset
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,weak,18,3,3,0,,0,,0,,0,,,,,0,0,,,r3,no_dataset; core_n=2_but_no_direct_core
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,weak,20,4,5,2,,0,,2,,0,,,,,0,0,,,r4,datasets_present_but_no_topic_dataset
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,weak,28,3,5,4,,0,,4,,0,,,,,0,0,,,r4,datasets_present_but_no_topic_dataset; core_n=2_but_no_direct_core
ENG-THESIS-035,基于深度学习的带钢表面缺陷检测方法,weak,25,5,9,1,,0,,1,,0,,,,,0,0,,,r4,datasets_present_but_no_topic_dataset; core_n=7_but_no_direct_core
ENG-THESIS-040,基于改进YOLO网络与极限学习机的绝缘子故障检测,weak,14,2,3,2,,0,,2,,0,,,,,0,0,,,r4,datasets_present_but_no_topic_dataset
ENG-THESIS-048,面向动态环境的视觉SLAM研究,fail,20,3,3,0,,0,,0,,0,,,,,1,1,,,r4,critical_consistency_error_n=1; no_dataset; core_n=1_but_no_direct_core; metadata_mismatch_in_core_or_baseline_or_parallel
ENG-THESIS-051,基于深度学习的语义SLAM研究,weak,16,1,5,0,,0,,0,,0,,,,,0,0,,,r5,no_dataset; core_n=4_but_no_direct_core
ENG-THESIS-058,基于深度学习的激光点云环境感知,weak,38,5,5,2,,0,,2,,0,,,,,0,0,,,r5,datasets_present_but_no_topic_dataset; core_n=12_but_no_direct_core
ENG-THESIS-060,基于深度学习的车道线检测方法研究,weak,22,6,11,1,,0,,1,,0,,,,,0,0,,,r5,datasets_present_but_no_topic_dataset; core_n=8_but_no_direct_core
ENG-THESIS-064,面向复杂道路场景的车辆目标检测算法研究与实现,weak,17,3,3,0,,0,,0,,0,,,,,0,0,,,r5,no_dataset; core_n=3_but_no_direct_core
ENG-THESIS-072,基于深度学习的动态SLAM研究,weak,20,2,6,0,,0,,0,,0,,,,,0,0,,,r5,no_dataset; core_n=7_but_no_direct_core
ENG-THESIS-073,面向汽车自动驾驶的模拟图像生成技术及应用研究,weak,23,1,2,3,,0,,3,,0,,,,,0,0,,,r6,datasets_present_but_no_topic_dataset
ENG-THESIS-079,基于结构光的隧道裂缝检测技术研究与实现,weak,27,3,4,0,,0,,0,,0,,,,,0,0,,,r6,no_dataset; core_n=1_but_no_direct_core
ENG-THESIS-083,基于多分辨率网络的桥梁裂缝分割算法研究,weak,42,5,5,0,,0,,0,,0,,,,,0,0,,,r6,no_dataset; core_n=2_but_no_direct_core
ENG-THESIS-089,基于深度学习和双目立体视觉的道路路面损伤检测研究,weak,20,5,6,0,,0,,0,,0,,,,,0,0,,,r6,dataset+repo=0 < 1; no_dataset
ENG-THESIS-100,基于深度学习的配电设备视觉识别技术研究,weak,27,4,1,3,,0,,3,,0,,,,,0,0,,,r6,datasets_present_but_no_topic_dataset; core_n=4_but_no_direct_core
